,Pred_Age,True_Age,Age_res,platform
GSM3853158,40.28974914550781,39.0,1.2897491455078125,850k
GSM3853159,48.48857498168945,50.0,-1.5114250183105469,850k
GSM3853160,46.245540618896484,48.0,-1.7544593811035156,850k
GSM3853161,47.12631607055664,47.0,0.12631607055664062,850k
GSM3853162,54.253292083740234,54.0,0.2532920837402344,850k
GSM3853163,44.07715606689453,44.0,0.07715606689453125,850k
GSM3853164,32.04694747924805,32.0,0.046947479248046875,850k
GSM3853165,49.72231674194336,50.0,-0.2776832580566406,850k
GSM3853166,50.51902389526367,53.0,-2.480976104736328,850k
GSM3853167,62.58255386352539,63.0,-0.4174461364746094,850k
GSM3853168,24.002914428710938,25.0,-0.9970855712890625,850k
GSM3853169,59.27934646606445,59.0,0.2793464660644531,850k
GSM3853170,42.26187515258789,43.0,-0.7381248474121094,850k
GSM3853171,20.72666358947754,21.0,-0.27333641052246094,850k
GSM3853172,43.388267517089844,45.0,-1.6117324829101562,850k
GSM3853173,18.17789077758789,19.0,-0.8221092224121094,850k
GSM3853174,46.890926361083984,47.0,-0.10907363891601562,850k
GSM3853175,46.373172760009766,46.0,0.3731727600097656,850k
GSM3853176,43.281070709228516,44.0,-0.7189292907714844,850k
GSM3853177,22.25450325012207,22.0,0.2545032501220703,850k
GSM3853178,44.10774230957031,43.0,1.1077423095703125,850k
GSM3853179,54.62773513793945,54.0,0.6277351379394531,850k
GSM3853180,56.77650451660156,56.0,0.7765045166015625,850k
GSM3853181,47.80817794799805,47.0,0.8081779479980469,850k
GSM3853182,36.73719787597656,38.0,-1.2628021240234375,850k
GSM3853183,47.1130256652832,46.0,1.1130256652832031,850k
GSM3853184,60.694252014160156,60.0,0.6942520141601562,850k
GSM3853185,59.75395584106445,57.0,2.753955841064453,850k
GSM3853186,55.85617446899414,56.0,-0.14382553100585938,850k
GSM3853187,52.50248718261719,51.0,1.5024871826171875,850k
GSM3853188,52.892066955566406,52.0,0.8920669555664062,850k
GSM3853189,57.399295806884766,56.0,1.3992958068847656,850k
GSM3853190,40.093238830566406,41.0,-0.9067611694335938,850k
GSM3853191,42.41530227661133,42.0,0.4153022766113281,850k
GSM3853192,60.027408599853516,59.0,1.0274085998535156,850k
GSM3853193,38.202919006347656,38.0,0.20291900634765625,850k
GSM3853194,48.841426849365234,51.0,-2.1585731506347656,850k
GSM3853195,56.594444274902344,56.0,0.5944442749023438,850k
GSM3853196,21.149152755737305,21.0,0.1491527557373047,850k
GSM3853197,58.591644287109375,60.0,-1.408355712890625,850k
GSM3853198,39.69145965576172,39.0,0.6914596557617188,850k
GSM3853199,30.986621856689453,30.0,0.9866218566894531,850k
GSM3853200,48.083316802978516,47.0,1.0833168029785156,850k
GSM3853201,41.4965934753418,42.0,-0.5034065246582031,850k
GSM3853202,48.85524368286133,48.0,0.8552436828613281,850k
GSM3853203,58.26636505126953,57.0,1.2663650512695312,850k
GSM3853204,47.05498123168945,46.0,1.0549812316894531,850k
GSM3853205,61.48961639404297,62.0,-0.5103836059570312,850k
GSM3853206,49.17067337036133,51.0,-1.8293266296386719,850k
GSM3853207,45.47904968261719,44.0,1.4790496826171875,850k
GSM3853208,50.092411041259766,52.0,-1.9075889587402344,850k
GSM3853209,46.934547424316406,46.0,0.9345474243164062,850k
GSM3853210,56.497798919677734,58.0,-1.5022010803222656,850k
GSM3853211,47.015419006347656,48.0,-0.9845809936523438,850k
GSM3853212,48.85403823852539,51.0,-2.1459617614746094,850k
GSM3853213,51.033634185791016,50.0,1.0336341857910156,850k
GSM3853214,75.6509780883789,76.0,-0.34902191162109375,850k
GSM3853215,58.439971923828125,59.0,-0.560028076171875,850k
GSM3853216,31.816238403320312,30.0,1.8162384033203125,850k
GSM3853217,45.588348388671875,47.0,-1.411651611328125,850k
GSM3853218,50.43316650390625,52.0,-1.56683349609375,850k
GSM3853219,31.736587524414062,32.0,-0.2634124755859375,850k
GSM3853220,52.50038528442383,52.0,0.5003852844238281,850k
GSM3853221,45.47420120239258,45.0,0.4742012023925781,850k
GSM3853222,43.12266540527344,42.0,1.1226654052734375,850k
GSM3853223,41.263301849365234,43.0,-1.7366981506347656,850k
GSM3853224,33.99398422241211,34.0,-0.006015777587890625,850k
GSM3853225,57.64988708496094,59.0,-1.3501129150390625,850k
GSM3853226,66.70763397216797,66.0,0.7076339721679688,850k
GSM3853227,53.22206497192383,51.0,2.222064971923828,850k
GSM3853228,28.62609100341797,26.0,2.6260910034179688,850k
GSM3853229,54.48896408081055,53.0,1.4889640808105469,850k
GSM3853230,47.07000732421875,47.0,0.07000732421875,850k
